gt_type,scram_cond,stim_num,run,subject,lag,kappa
tracked,2B,1,1,15,-2,-0.058139534883721034
tracked,2B,1,1,16,-2,-0.03703703703703698
tracked,2B,1,1,17,-2,-0.04672897196261694
tracked,2B,1,1,18,-2,-0.059459459459459296
tracked,2B,1,1,19,-2,-0.0547945205479452
tracked,2B,1,1,20,-2,-0.05660377358490565
tracked,2B,1,1,21,-2,-0.05263157894736836
tracked,2B,1,1,22,-2,0.0
tracked,2B,1,1,23,-2,-0.059459459459459296
tracked,2B,1,1,24,-2,-0.0547945205479452
tracked,2B,1,1,25,-2,-0.02941176470588247
tracked,2B,1,1,26,-2,0.0
tracked,2B,1,1,27,-2,-0.0547945205479452
tracked,2B,1,1,28,-2,-0.059459459459459296
tracked,2B,1,1,29,-2,-0.04672897196261694
tracked,2B,1,1,30,-2,-0.042553191489361764
tracked,2B,1,1,31,-2,-0.03703703703703698
tracked,2B,1,1,32,-2,-0.02941176470588247
tracked,2B,1,1,33,-2,-0.0616113744075828
tracked,2B,1,1,34,-2,-0.042553191489361764
tracked,2B,1,1,35,-2,-0.0547945205479452
tracked,2B,1,1,36,-2,-0.05263157894736836
tracked,2B,1,1,37,-2,-0.0616113744075828
tracked,2B,1,1,38,-2,0.071090047393365
tracked,2B,1,1,39,-2,0.49090909090909096
tracked,2B,1,1,40,-2,0.308641975308642
tracked,2B,1,1,41,-2,-0.03703703703703698
tracked,2B,1,1,42,-2,-0.059459459459459296
tracked,2B,1,1,0,-1,0.04871626069782753
tracked,2B,1,1,1,-1,-0.05590062111801264
tracked,2B,1,1,2,-1,-0.042031523642731994
tracked,2B,1,1,3,-1,-0.029055690072639306
tracked,2B,1,1,4,-1,-0.05985037406483795
tracked,2B,1,1,5,-1,-0.04938271604938271
tracked,2B,1,1,6,-1,0.15841584158415845
tracked,2B,1,1,7,-1,-0.05741626794258381
tracked,2B,1,1,8,-1,-0.04615384615384621
tracked,2B,1,1,9,-1,-0.03658536585365857
tracked,2B,1,1,10,-1,0.07176287051482055
tracked,2B,1,1,11,-1,0.0
tracked,2B,1,1,12,-1,0.0
tracked,2B,1,1,13,-1,-0.017964071856287456
